Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"7,160",290,315,24.7,2.9,"2,466",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"202,368","3,611","3,780",56.0,36.1,"5,605",,"185,900",51.5
E09000003,Barnet,Outer,"379,806","8,675","8,675",43.8,86.7,"4,378",,"356,400",41.1
E09000004,Bexley,Outer,"242,370","6,058","6,429",40.0,60.6,"4,001",,"232,000",38.3
E09000005,Brent,Outer,"324,851","4,323","4,323",75.1,43.2,"7,514",,"311,200",72.0
E09000006,Bromley,Outer,"325,413","15,013","15,013",21.7,150.1,"2,167",,"309,400",20.6
E09000007,Camden,Inner,"241,058","2,179","2,179",110.6,21.8,"11,063",,"220,300",101.1
E09000008,Croydon,Outer,"379,031","8,650","8,650",43.8,86.5,"4,382",,"363,400",42.0
E09000009,Ealing,Outer,"343,410","5,554","5,554",61.8,55.5,"6,183",,"338,400",60.9
E09000010,Enfield,Outer,"328,509","8,083","8,220",40.6,80.8,"4,064",,"312,500",38.7
E09000011,Greenwich,Outer,"274,803","4,733","5,044",58.1,47.3,"5,806",,"254,600",53.8
E09000012,Hackney,Inner,"269,405","1,905","1,905",141.4,19.0,"14,143",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"179,754","1,640","1,715",109.6,16.4,"10,962",,"182,500",111.3
E09000014,Haringey,Inner,"273,762","2,960","2,960",92.5,29.6,"9,249",,"254,900",86.1
E09000015,Harrow,Outer,"247,694","5,046","5,046",49.1,50.5,"4,908",,"239,100",47.4
E09000016,Havering,Outer,"249,439","11,235","11,446",22.2,112.3,"2,220",,"237,200",21.1
E09000017,Hillingdon,Outer,"298,370","11,570","11,570",25.8,115.7,"2,579",,"273,900",23.7
E09000018,Hounslow,Outer,"269,177","5,598","5,659",48.1,56.0,"4,809",,"254,000",45.4
E09000019,Islington,Inner,"228,045","1,486","1,486",153.5,14.9,"15,350",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"158,112","1,212","1,238",130.4,12.1,"13,041",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"173,558","3,726","3,726",46.6,37.3,"4,658",,"160,100",43.0
E09000022,Lambeth,Inner,"324,758","2,681","2,725",121.1,26.8,"12,113",,"303,100",113.1
E09000023,Lewisham,Inner,"297,912","3,515","3,532",84.8,35.1,"8,476",,"275,900",78.5
E09000024,Merton,Outer,"205,248","3,762","3,762",54.6,37.6,"5,455",,"199,700",53.1
E09000025,Newham,Inner,"334,269","3,620","3,857",92.3,36.2,"9,234",,"308,000",85.1
E09000026,Redbridge,Outer,"296,919","5,642","5,644",52.6,56.4,"5,263",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"194,730","5,741","5,876",33.9,57.4,"3,392",,"187,000",32.6
E09000028,Southwark,Inner,"309,545","2,886","2,991",107.2,28.9,"10,725",,"288,300",99.9
E09000029,Sutton,Outer,"200,537","4,385","4,385",45.7,43.8,"4,574",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"295,909","1,978","2,158",149.6,19.8,"14,959",,"254,100",128.5
E09000031,Waltham Forest,Outer,"271,825","3,881","3,881",70.0,38.8,"7,004",,"258,200",66.5
E09000032,Wandsworth,Inner,"315,134","3,426","3,522",92.0,34.3,"9,197",,"307,000",89.6
E09000033,Westminster,Inner,"242,299","2,149","2,203",112.8,21.5,"11,277",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,477,121","31,929","32,796",108.9,319.3,"10,890",,"3,231,900",101.2
E13000002,Outer London,,"5,208,057","125,424","126,676",41.5,"1,254.2","4,152",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"8,685,178","157,215","159,471",55.2,"1,572.1","5,524",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
