Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"8,289",290,315,28.5,2.9,"2,854",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"224,407","3,611","3,780",62.1,36.1,"6,215",,"185,900",51.5
E09000003,Barnet,Outer,"415,041","8,675","8,675",47.8,86.7,"4,784",,"356,400",41.1
E09000004,Bexley,Outer,"258,607","6,058","6,429",42.7,60.6,"4,269",,"232,000",38.3
E09000005,Brent,Outer,"348,783","4,323","4,323",80.7,43.2,"8,068",,"311,200",72.0
E09000006,Bromley,Outer,"342,548","15,013","15,013",22.8,150.1,"2,282",,"309,400",20.6
E09000007,Camden,Inner,"261,082","2,179","2,179",119.8,21.8,"11,982",,"220,300",101.1
E09000008,Croydon,Outer,"406,399","8,650","8,650",47.0,86.5,"4,698",,"363,400",42.0
E09000009,Ealing,Outer,"377,916","5,554","5,554",68.0,55.5,"6,804",,"338,400",60.9
E09000010,Enfield,Outer,"349,994","8,083","8,220",43.3,80.8,"4,330",,"312,500",38.7
E09000011,Greenwich,Outer,"297,039","4,733","5,044",62.8,47.3,"6,275",,"254,600",53.8
E09000012,Hackney,Inner,"294,312","1,905","1,905",154.5,19.0,"15,450",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"201,406","1,640","1,715",122.8,16.4,"12,283",,"182,500",111.3
E09000014,Haringey,Inner,"293,503","2,960","2,960",99.2,29.6,"9,916",,"254,900",86.1
E09000015,Harrow,Outer,"265,449","5,046","5,046",52.6,50.5,"5,260",,"239,100",47.4
E09000016,Havering,Outer,"271,368","11,235","11,446",24.2,112.3,"2,415",,"237,200",21.1
E09000017,Hillingdon,Outer,"322,492","11,570","11,570",27.9,115.7,"2,787",,"273,900",23.7
E09000018,Hounslow,Outer,"289,358","5,598","5,659",51.7,56.0,"5,169",,"254,000",45.4
E09000019,Islington,Inner,"245,839","1,486","1,486",165.5,14.9,"16,547",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"162,446","1,212","1,238",134.0,12.1,"13,399",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"186,434","3,726","3,726",50.0,37.3,"5,003",,"160,100",43.0
E09000022,Lambeth,Inner,"343,982","2,681","2,725",128.3,26.8,"12,830",,"303,100",113.1
E09000023,Lewisham,Inner,"323,421","3,515","3,532",92.0,35.1,"9,201",,"275,900",78.5
E09000024,Merton,Outer,"216,662","3,762","3,762",57.6,37.6,"5,758",,"199,700",53.1
E09000025,Newham,Inner,"370,004","3,620","3,857",102.2,36.2,"10,222",,"308,000",85.1
E09000026,Redbridge,Outer,"320,018","5,642","5,644",56.7,56.4,"5,672",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"205,051","5,741","5,876",35.7,57.4,"3,572",,"187,000",32.6
E09000028,Southwark,Inner,"334,826","2,886","2,991",116.0,28.9,"11,601",,"288,300",99.9
E09000029,Sutton,Outer,"215,228","4,385","4,385",49.1,43.8,"4,909",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"334,834","1,978","2,158",169.3,19.8,"16,927",,"254,100",128.5
E09000031,Waltham Forest,Outer,"295,311","3,881","3,881",76.1,38.8,"7,610",,"258,200",66.5
E09000032,Wandsworth,Inner,"343,147","3,426","3,522",100.1,34.3,"10,015",,"307,000",89.6
E09000033,Westminster,Inner,"264,875","2,149","2,203",123.3,21.5,"12,327",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,781,965","31,929","32,796",118.4,319.3,"11,845",,"3,231,900",101.2
E13000002,Outer London,,"5,608,104","125,424","126,676",44.7,"1,254.2","4,471",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,390,069","157,215","159,471",59.7,"1,572.1","5,973",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
