Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"7,953",290,315,27.4,2.9,"2,739",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"214,858","3,611","3,780",59.5,36.1,"5,950",,"185,900",51.5
E09000003,Barnet,Outer,"402,363","8,675","8,675",46.4,86.7,"4,638",,"356,400",41.1
E09000004,Bexley,Outer,"252,885","6,058","6,429",41.7,60.6,"4,174",,"232,000",38.3
E09000005,Brent,Outer,"340,710","4,323","4,323",78.8,43.2,"7,881",,"311,200",72.0
E09000006,Bromley,Outer,"334,292","15,013","15,013",22.3,150.1,"2,227",,"309,400",20.6
E09000007,Camden,Inner,"255,526","2,179","2,179",117.3,21.8,"11,727",,"220,300",101.1
E09000008,Croydon,Outer,"396,548","8,650","8,650",45.8,86.5,"4,584",,"363,400",42.0
E09000009,Ealing,Outer,"354,184","5,554","5,554",63.8,55.5,"6,377",,"338,400",60.9
E09000010,Enfield,Outer,"339,480","8,083","8,220",42.0,80.8,"4,200",,"312,500",38.7
E09000011,Greenwich,Outer,"289,650","4,733","5,044",61.2,47.3,"6,119",,"254,600",53.8
E09000012,Hackney,Inner,"286,425","1,905","1,905",150.4,19.0,"15,036",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"186,075","1,640","1,715",113.5,16.4,"11,348",,"182,500",111.3
E09000014,Haringey,Inner,"285,949","2,960","2,960",96.6,29.6,"9,661",,"254,900",86.1
E09000015,Harrow,Outer,"258,861","5,046","5,046",51.3,50.5,"5,130",,"239,100",47.4
E09000016,Havering,Outer,"258,655","11,235","11,446",23.0,112.3,"2,302",,"237,200",21.1
E09000017,Hillingdon,Outer,"312,567","11,570","11,570",27.0,115.7,"2,702",,"273,900",23.7
E09000018,Hounslow,Outer,"281,339","5,598","5,659",50.3,56.0,"5,026",,"254,000",45.4
E09000019,Islington,Inner,"241,589","1,486","1,486",162.6,14.9,"16,261",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"160,531","1,212","1,238",132.4,12.1,"13,241",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"180,598","3,726","3,726",48.5,37.3,"4,847",,"160,100",43.0
E09000022,Lambeth,Inner,"338,028","2,681","2,725",126.1,26.8,"12,608",,"303,100",113.1
E09000023,Lewisham,Inner,"314,027","3,515","3,532",89.3,35.1,"8,934",,"275,900",78.5
E09000024,Merton,Outer,"210,452","3,762","3,762",55.9,37.6,"5,593",,"199,700",53.1
E09000025,Newham,Inner,"359,470","3,620","3,857",99.3,36.2,"9,931",,"308,000",85.1
E09000026,Redbridge,Outer,"307,690","5,642","5,644",54.5,56.4,"5,454",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"200,703","5,741","5,876",35.0,57.4,"3,496",,"187,000",32.6
E09000028,Southwark,Inner,"327,271","2,886","2,991",113.4,28.9,"11,339",,"288,300",99.9
E09000029,Sutton,Outer,"209,666","4,385","4,385",47.8,43.8,"4,782",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"323,696","1,978","2,158",163.6,19.8,"16,364",,"254,100",128.5
E09000031,Waltham Forest,Outer,"286,776","3,881","3,881",73.9,38.8,"7,390",,"258,200",66.5
E09000032,Wandsworth,Inner,"328,828","3,426","3,522",96.0,34.3,"9,597",,"307,000",89.6
E09000033,Westminster,Inner,"258,511","2,149","2,203",120.3,21.5,"12,031",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,673,880","31,929","32,796",115.1,319.3,"11,506",,"3,231,900",101.2
E13000002,Outer London,,"5,432,277","125,424","126,676",43.3,"1,254.2","4,331",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,106,157","157,215","159,471",57.9,"1,572.1","5,792",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
