Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"8,164",290,315,28.1,2.9,"2,811",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"221,495","3,611","3,780",61.3,36.1,"6,134",,"185,900",51.5
E09000003,Barnet,Outer,"411,275","8,675","8,675",47.4,86.7,"4,741",,"356,400",41.1
E09000004,Bexley,Outer,"256,845","6,058","6,429",42.4,60.6,"4,240",,"232,000",38.3
E09000005,Brent,Outer,"346,437","4,323","4,323",80.1,43.2,"8,013",,"311,200",72.0
E09000006,Bromley,Outer,"339,466","15,013","15,013",22.6,150.1,"2,261",,"309,400",20.6
E09000007,Camden,Inner,"259,344","2,179","2,179",119.0,21.8,"11,902",,"220,300",101.1
E09000008,Croydon,Outer,"403,461","8,650","8,650",46.6,86.5,"4,664",,"363,400",42.0
E09000009,Ealing,Outer,"369,685","5,554","5,554",66.6,55.5,"6,656",,"338,400",60.9
E09000010,Enfield,Outer,"346,635","8,083","8,220",42.9,80.8,"4,288",,"312,500",38.7
E09000011,Greenwich,Outer,"294,837","4,733","5,044",62.3,47.3,"6,229",,"254,600",53.8
E09000012,Hackney,Inner,"292,023","1,905","1,905",153.3,19.0,"15,330",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"195,981","1,640","1,715",119.5,16.4,"11,952",,"182,500",111.3
E09000014,Haringey,Inner,"291,330","2,960","2,960",98.4,29.6,"9,843",,"254,900",86.1
E09000015,Harrow,Outer,"263,484","5,046","5,046",52.2,50.5,"5,221",,"239,100",47.4
E09000016,Havering,Outer,"265,930","11,235","11,446",23.7,112.3,"2,367",,"237,200",21.1
E09000017,Hillingdon,Outer,"319,467","11,570","11,570",27.6,115.7,"2,761",,"273,900",23.7
E09000018,Hounslow,Outer,"286,947","5,598","5,659",51.3,56.0,"5,126",,"254,000",45.4
E09000019,Islington,Inner,"244,372","1,486","1,486",164.5,14.9,"16,449",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"161,552","1,212","1,238",133.2,12.1,"13,325",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"184,660","3,726","3,726",49.6,37.3,"4,956",,"160,100",43.0
E09000022,Lambeth,Inner,"342,250","2,681","2,725",127.7,26.8,"12,766",,"303,100",113.1
E09000023,Lewisham,Inner,"320,574","3,515","3,532",91.2,35.1,"9,120",,"275,900",78.5
E09000024,Merton,Outer,"214,740","3,762","3,762",57.1,37.6,"5,707",,"199,700",53.1
E09000025,Newham,Inner,"366,943","3,620","3,857",101.4,36.2,"10,137",,"308,000",85.1
E09000026,Redbridge,Outer,"316,288","5,642","5,644",56.1,56.4,"5,606",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"203,312","5,741","5,876",35.4,57.4,"3,542",,"187,000",32.6
E09000028,Southwark,Inner,"332,679","2,886","2,991",115.3,28.9,"11,527",,"288,300",99.9
E09000029,Sutton,Outer,"213,340","4,385","4,385",48.7,43.8,"4,866",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"331,620","1,978","2,158",167.6,19.8,"16,764",,"254,100",128.5
E09000031,Waltham Forest,Outer,"292,788","3,881","3,881",75.4,38.8,"7,545",,"258,200",66.5
E09000032,Wandsworth,Inner,"337,783","3,426","3,522",98.6,34.3,"9,858",,"307,000",89.6
E09000033,Westminster,Inner,"262,317","2,149","2,203",122.1,21.5,"12,208",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,746,932","31,929","32,796",117.4,319.3,"11,735",,"3,231,900",101.2
E13000002,Outer London,,"5,551,092","125,424","126,676",44.3,"1,254.2","4,426",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,298,024","157,215","159,471",59.1,"1,572.1","5,914",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
