Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"7,401",290,315,25.5,2.9,"2,549",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"206,849","3,611","3,780",57.3,36.1,"5,729",,"185,900",51.5
E09000003,Barnet,Outer,"386,198","8,675","8,675",44.5,86.7,"4,452",,"356,400",41.1
E09000004,Bexley,Outer,"244,988","6,058","6,429",40.4,60.6,"4,044",,"232,000",38.3
E09000005,Brent,Outer,"329,093","4,323","4,323",76.1,43.2,"7,612",,"311,200",72.0
E09000006,Bromley,Outer,"327,445","15,013","15,013",21.8,150.1,"2,181",,"309,400",20.6
E09000007,Camden,Inner,"246,180","2,179","2,179",113.0,21.8,"11,298",,"220,300",101.1
E09000008,Croydon,Outer,"382,304","8,650","8,650",44.2,86.5,"4,420",,"363,400",42.0
E09000009,Ealing,Outer,"343,547","5,554","5,554",61.9,55.5,"6,185",,"338,400",60.9
E09000010,Enfield,Outer,"331,471","8,083","8,220",41.0,80.8,"4,101",,"312,500",38.7
E09000011,Greenwich,Outer,"279,766","4,733","5,044",59.1,47.3,"5,910",,"254,600",53.8
E09000012,Hackney,Inner,"273,922","1,905","1,905",143.8,19.0,"14,380",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"179,998","1,640","1,715",109.8,16.4,"10,977",,"182,500",111.3
E09000014,Haringey,Inner,"279,349","2,960","2,960",94.4,29.6,"9,438",,"254,900",86.1
E09000015,Harrow,Outer,"249,316","5,046","5,046",49.4,50.5,"4,941",,"239,100",47.4
E09000016,Havering,Outer,"253,137","11,235","11,446",22.5,112.3,"2,253",,"237,200",21.1
E09000017,Hillingdon,Outer,"303,106","11,570","11,570",26.2,115.7,"2,620",,"273,900",23.7
E09000018,Hounslow,Outer,"271,546","5,598","5,659",48.5,56.0,"4,851",,"254,000",45.4
E09000019,Islington,Inner,"233,218","1,486","1,486",157.0,14.9,"15,698",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"157,127","1,212","1,238",129.6,12.1,"12,960",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"176,140","3,726","3,726",47.3,37.3,"4,727",,"160,100",43.0
E09000022,Lambeth,Inner,"328,237","2,681","2,725",122.4,26.8,"12,243",,"303,100",113.1
E09000023,Lewisham,Inner,"302,454","3,515","3,532",86.0,35.1,"8,605",,"275,900",78.5
E09000024,Merton,Outer,"205,712","3,762","3,762",54.7,37.6,"5,467",,"199,700",53.1
E09000025,Newham,Inner,"342,430","3,620","3,857",94.6,36.2,"9,460",,"308,000",85.1
E09000026,Redbridge,Outer,"299,375","5,642","5,644",53.1,56.4,"5,306",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"195,846","5,741","5,876",34.1,57.4,"3,412",,"187,000",32.6
E09000028,Southwark,Inner,"313,867","2,886","2,991",108.7,28.9,"10,875",,"288,300",99.9
E09000029,Sutton,Outer,"202,612","4,385","4,385",46.2,43.8,"4,621",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"305,527","1,978","2,158",154.5,19.8,"15,445",,"254,100",128.5
E09000031,Waltham Forest,Outer,"276,498","3,881","3,881",71.2,38.8,"7,125",,"258,200",66.5
E09000032,Wandsworth,Inner,"316,686","3,426","3,522",92.4,34.3,"9,242",,"307,000",89.6
E09000033,Westminster,Inner,"247,614","2,149","2,203",115.2,21.5,"11,524",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,534,009","31,929","32,796",110.7,319.3,"11,068",,"3,231,900",101.2
E13000002,Outer London,,"5,264,948","125,424","126,676",42.0,"1,254.2","4,198",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"8,798,957","157,215","159,471",56.0,"1,572.1","5,597",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
