Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"8,046",290,315,27.7,2.9,"2,771",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"218,367","3,611","3,780",60.5,36.1,"6,048",,"185,900",51.5
E09000003,Barnet,Outer,"407,148","8,675","8,675",46.9,86.7,"4,693",,"356,400",41.1
E09000004,Bexley,Outer,"254,970","6,058","6,429",42.1,60.6,"4,209",,"232,000",38.3
E09000005,Brent,Outer,"343,853","4,323","4,323",79.5,43.2,"7,954",,"311,200",72.0
E09000006,Bromley,Outer,"336,395","15,013","15,013",22.4,150.1,"2,241",,"309,400",20.6
E09000007,Camden,Inner,"257,384","2,179","2,179",118.1,21.8,"11,812",,"220,300",101.1
E09000008,Croydon,Outer,"400,272","8,650","8,650",46.3,86.5,"4,627",,"363,400",42.0
E09000009,Ealing,Outer,"361,833","5,554","5,554",65.1,55.5,"6,514",,"338,400",60.9
E09000010,Enfield,Outer,"342,993","8,083","8,220",42.4,80.8,"4,243",,"312,500",38.7
E09000011,Greenwich,Outer,"292,466","4,733","5,044",61.8,47.3,"6,179",,"254,600",53.8
E09000012,Hackney,Inner,"289,488","1,905","1,905",152.0,19.0,"15,197",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"190,721","1,640","1,715",116.3,16.4,"11,631",,"182,500",111.3
E09000014,Haringey,Inner,"288,913","2,960","2,960",97.6,29.6,"9,761",,"254,900",86.1
E09000015,Harrow,Outer,"261,348","5,046","5,046",51.8,50.5,"5,179",,"239,100",47.4
E09000016,Havering,Outer,"261,830","11,235","11,446",23.3,112.3,"2,330",,"237,200",21.1
E09000017,Hillingdon,Outer,"316,253","11,570","11,570",27.3,115.7,"2,733",,"273,900",23.7
E09000018,Hounslow,Outer,"284,358","5,598","5,659",50.8,56.0,"5,080",,"254,000",45.4
E09000019,Islington,Inner,"242,827","1,486","1,486",163.4,14.9,"16,345",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"160,794","1,212","1,238",132.6,12.1,"13,262",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"182,728","3,726","3,726",49.0,37.3,"4,904",,"160,100",43.0
E09000022,Lambeth,Inner,"340,324","2,681","2,725",126.9,26.8,"12,694",,"303,100",113.1
E09000023,Lewisham,Inner,"317,465","3,515","3,532",90.3,35.1,"9,032",,"275,900",78.5
E09000024,Merton,Outer,"212,658","3,762","3,762",56.5,37.6,"5,652",,"199,700",53.1
E09000025,Newham,Inner,"363,552","3,620","3,857",100.4,36.2,"10,043",,"308,000",85.1
E09000026,Redbridge,Outer,"312,264","5,642","5,644",55.3,56.4,"5,535",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"201,713","5,741","5,876",35.1,57.4,"3,514",,"187,000",32.6
E09000028,Southwark,Inner,"330,290","2,886","2,991",114.4,28.9,"11,444",,"288,300",99.9
E09000029,Sutton,Outer,"211,297","4,385","4,385",48.2,43.8,"4,819",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"328,043","1,978","2,158",165.8,19.8,"16,584",,"254,100",128.5
E09000031,Waltham Forest,Outer,"290,024","3,881","3,881",74.7,38.8,"7,473",,"258,200",66.5
E09000032,Wandsworth,Inner,"332,731","3,426","3,522",97.1,34.3,"9,711",,"307,000",89.6
E09000033,Westminster,Inner,"259,981","2,149","2,203",121.0,21.5,"12,099",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,710,562","31,929","32,796",116.2,319.3,"11,621",,"3,231,900",101.2
E13000002,Outer London,,"5,492,769","125,424","126,676",43.8,"1,254.2","4,379",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,203,331","157,215","159,471",58.5,"1,572.1","5,854",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
