Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"8,526",290,315,29.4,2.9,"2,936",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"229,337","3,611","3,780",63.5,36.1,"6,351",,"185,900",51.5
E09000003,Barnet,Outer,"420,924","8,675","8,675",48.5,86.7,"4,852",,"356,400",41.1
E09000004,Bexley,Outer,"262,798","6,058","6,429",43.4,60.6,"4,338",,"232,000",38.3
E09000005,Brent,Outer,"353,130","4,323","4,323",81.7,43.2,"8,168",,"311,200",72.0
E09000006,Bromley,Outer,"347,455","15,013","15,013",23.1,150.1,"2,314",,"309,400",20.6
E09000007,Camden,Inner,"263,550","2,179","2,179",121.0,21.8,"12,095",,"220,300",101.1
E09000008,Croydon,Outer,"416,582","8,650","8,650",48.2,86.5,"4,816",,"363,400",42.0
E09000009,Ealing,Outer,"393,434","5,554","5,554",70.8,55.5,"7,083",,"338,400",60.9
E09000010,Enfield,Outer,"355,209","8,083","8,220",43.9,80.8,"4,394",,"312,500",38.7
E09000011,Greenwich,Outer,"306,500","4,733","5,044",64.8,47.3,"6,475",,"254,600",53.8
E09000012,Hackney,Inner,"297,569","1,905","1,905",156.2,19.0,"15,621",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"211,895","1,640","1,715",129.2,16.4,"12,922",,"182,500",111.3
E09000014,Haringey,Inner,"296,572","2,960","2,960",100.2,29.6,"10,020",,"254,900",86.1
E09000015,Harrow,Outer,"268,448","5,046","5,046",53.2,50.5,"5,320",,"239,100",47.4
E09000016,Havering,Outer,"281,728","11,235","11,446",25.1,112.3,"2,508",,"237,200",21.1
E09000017,Hillingdon,Outer,"327,456","11,570","11,570",28.3,115.7,"2,830",,"273,900",23.7
E09000018,Hounslow,Outer,"293,167","5,598","5,659",52.4,56.0,"5,237",,"254,000",45.4
E09000019,Islington,Inner,"247,841","1,486","1,486",166.8,14.9,"16,682",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"164,020","1,212","1,238",135.3,12.1,"13,529",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"189,276","3,726","3,726",50.8,37.3,"5,080",,"160,100",43.0
E09000022,Lambeth,Inner,"346,100","2,681","2,725",129.1,26.8,"12,909",,"303,100",113.1
E09000023,Lewisham,Inner,"327,730","3,515","3,532",93.2,35.1,"9,324",,"275,900",78.5
E09000024,Merton,Outer,"220,418","3,762","3,762",58.6,37.6,"5,858",,"199,700",53.1
E09000025,Newham,Inner,"374,424","3,620","3,857",103.4,36.2,"10,344",,"308,000",85.1
E09000026,Redbridge,Outer,"326,070","5,642","5,644",57.8,56.4,"5,779",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"208,321","5,741","5,876",36.3,57.4,"3,629",,"187,000",32.6
E09000028,Southwark,Inner,"339,444","2,886","2,991",117.6,28.9,"11,761",,"288,300",99.9
E09000029,Sutton,Outer,"218,218","4,385","4,385",49.8,43.8,"4,977",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"348,363","1,978","2,158",176.1,19.8,"17,611",,"254,100",128.5
E09000031,Waltham Forest,Outer,"299,105","3,881","3,881",77.1,38.8,"7,707",,"258,200",66.5
E09000032,Wandsworth,Inner,"353,279","3,426","3,522",103.1,34.3,"10,310",,"307,000",89.6
E09000033,Westminster,Inner,"269,593","2,149","2,203",125.5,21.5,"12,547",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,848,906","31,929","32,796",120.5,319.3,"12,054",,"3,231,900",101.2
E13000002,Outer London,,"5,717,576","125,424","126,676",45.6,"1,254.2","4,559",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,566,482","157,215","159,471",60.8,"1,572.1","6,085",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
